names,field_col_class,field_width,field_posn
SMDA_NUM ,factor,20,0
UNIT ,factor,8,20
LOC_STREET ,character,25,28
LOC_HOUSE_NO ,integer,6,53
LOC_SEC_NO ,integer,3,59
LOC_ST_DESC ,character,2,62
LOC_ST_IND ,character,1,64
LOC_ST_DIR ,character,2,65
TAX_DIST ,integer,3,67
SCHOOL_CODE ,integer,4,70
CLASS_CODE ,integer,3,74
OWNER_LINE1 ,character,25,77
OWNER_LINE2 ,character,25,102
OWNER_LINE3 ,character,25,127
OWNER_LINE4 ,character,25,152
MAIIL_LINE1 ,character,25,177
MAIL_LINE2 ,character,25,202
MAIL_LINE3 ,character,25,227
MAIL_LINE4 ,character,25,252
PROPERTY_DESCRIPTION1 ,character,80,277
PROPERTY_DESCRIPTION2 ,character,80,357
PROPERTY_DESCRIPTION3 ,character,80,437
PROPERTY_DESCRIPTION4 ,character,80,517
BOR_FLAG ,factor,2,597
VALID_SALE ,factor,1,599
MKT_LAND_VAL ,integer,15,600
HMSTD_FLAG ,factor,1,615
FILL_01 ,factor,14,616
NUM_PARCELS ,integer,10,630
CAUV_VALUE ,integer,15,640
RED_25_FLAG ,factor,1,655
BANK_CODE ,factor,6,656
FILL_02 ,factor,8,662
DEED_TYPE ,factor,2,670
MKT_IMPR_VAL ,integer,15,672
DIIV_FLAG ,factor,1,687
SALE_AMOUNT ,integer,15,688
MKT_TOTAL_VAL ,integer,15,703
NEW_CONS_FLAG ,factor,1,718
SALE_DATE ,integer,8,719
FORECL_FLAG ,factor,2,727
CONVEY_NO ,integer,10,729
SPEC_FLAG ,factor,1,739
FILL_03 ,factor,9,740
DEED_NUMBER ,integer,10,749
ANNUAL_TAXES ,numeric,15,759
FRONT_FOOTAGE ,integer,15,774
ACRES ,numeric,15,789
TAXES_PAID ,numeric,15,804
FOX_DELETED ,factor,1,819
PAR_DELETED ,factor,1,820
PARCEL_ID ,character,25,821
OWNER_SORT ,character,25,846
DELQ_TAXES ,num.with.commas,15,871
ZIPCODE ,factor,10,886
RentalRegSw ,factor,1,896
AppraisalArea ,character,100,897
